collection_geoloc,collect_from,delivery_geoloc,deliver_by,job_id,list_of_vehicle_type,nb_of_vehicle,nb_of_items_on_job,no_of_Artics,load_Size,no_of_vehicles_notArtic,abilities
"-2.087892399999987,57.12535159999999",Thu Aug 18 2016 13:00:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000756,Artic,1,2,1,0.5,0,
"-2.087892399999987,57.12535159999999",Thu Aug 18 2016 13:00:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000756,Artic,1,2,1,0.5,0,
"-2.0934305000000677,57.1898548",Thu Aug 18 2016 14:01:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000577,Artic,1,4,1,0.25,0,
"-2.0934305000000677,57.1898548",Thu Aug 18 2016 14:01:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000577,Artic,1,4,1,0.25,0,
"-2.0934305000000677,57.1898548",Thu Aug 18 2016 14:01:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000577,Artic,1,4,1,0.25,0,
"-2.0934305000000677,57.1898548",Thu Aug 18 2016 14:01:00 GMT+0100,"-2.0774459838867188,57.13810229016563",Thu Aug 18 2016 19:00:00 GMT+0100,1000577,Artic,1,4,1,0.25,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
"-2.0642709732055664,57.11734815677611",Fri Aug 19 2016 09:00:00 GMT+0100,"-2.0829927921295166,57.14157764477307",Fri Aug 19 2016 16:00:00 GMT+0100,1000878,Artic # Artic,2,12,2,0.166666667,0,
